Distance,Base_Pairs,Log10_BP
262,3000,3.4771212547196626
397,1500,3.1760912590556813
518,1000,3.0
552,900,2.9542425094393248
590,800,2.9030899869919438
624,700,2.845098040014257
682,600,2.7781512503836434
740,500,2.6989700043360187
804,400,2.6020599913279625
880,300,2.4771212547196626
965,200,2.3010299956639813
