Distance,Estimated_Log10_BP,Estimated_BP
365,3.265330484746876,1842.1733054683205
465,3.108422856018516,1283.5797472038664
585,2.9201337015444846,832.0198766380895
828,2.5388481637345697,345.81845305165496
